account_id,company_name,industry,employee_size,region,created_date,tier
ACC0001,Johnson Ltd,Technology,51-200,EMEA,2025-08-29,Enterprise
ACC0002,Chambers Ltd,Manufacturing,201-500,North America,2024-08-18,Mid-Market
ACC0003,Murphy Inc,Technology,201-500,North America,2026-03-18,SMB
ACC0004,"Salazar, Berry and Thomas",Manufacturing,51-200,EMEA,2025-01-10,SMB
ACC0005,White-Jenkins,Technology,501-2000,APAC,2025-02-06,Mid-Market
ACC0006,Terry LLC,Public Sector,51-200,North America,2026-01-10,Mid-Market
ACC0007,"Carlson, Page and Sparks",Financial Services,51-200,North America,2026-03-01,SMB
ACC0008,Sanchez Group,Public Sector,51-200,North America,2024-09-26,Mid-Market
ACC0009,Ortega-Williams,Media & Entertainment,51-200,EMEA,2025-09-30,SMB
ACC0010,"Shepherd, Mccullough and Flores",Technology,51-200,North America,2026-01-23,SMB
ACC0011,"Garcia, Lopez and Owens",Financial Services,201-500,APAC,2025-04-06,Enterprise
ACC0012,Phillips and Sons,Manufacturing,501-2000,North America,2024-05-15,SMB
ACC0013,"Flores, Holloway and Conrad",Technology,501-2000,EMEA,2025-10-29,Mid-Market
ACC0014,Williams PLC,Media & Entertainment,201-500,North America,2025-09-02,SMB
ACC0015,Hernandez-Rogers,Manufacturing,51-200,APAC,2026-03-13,SMB
ACC0016,Gill Group,Technology,2000+,North America,2024-09-11,SMB
ACC0017,"Burns, Price and Graham",Healthcare,51-200,North America,2024-06-25,Mid-Market
ACC0018,"Luna, Wall and Kelly",Technology,201-500,North America,2025-07-19,SMB
ACC0019,"Aguirre, Anderson and Ramirez",Healthcare,51-200,North America,2025-11-24,Mid-Market
ACC0020,Castaneda-Berry,Technology,1-50,North America,2024-07-11,Enterprise
ACC0021,Torres-Carter,Healthcare,51-200,EMEA,2024-08-12,SMB
ACC0022,Hamilton Group,Public Sector,501-2000,North America,2026-04-03,SMB
ACC0023,Cooper-Khan,Media & Entertainment,501-2000,North America,2024-06-27,Mid-Market
ACC0024,Carney Inc,Technology,1-50,North America,2025-07-19,SMB
ACC0025,Bruce LLC,Healthcare,1-50,EMEA,2024-07-13,Mid-Market
ACC0026,White-Martin,Healthcare,51-200,EMEA,2025-10-31,Mid-Market
ACC0027,Yang-Delgado,Healthcare,1-50,APAC,2025-05-18,Mid-Market
ACC0028,"Hill, Kim and Lang",Financial Services,2000+,North America,2025-06-04,Mid-Market
ACC0029,"Mccullough, Callahan and Wise",Healthcare,1-50,North America,2024-12-03,SMB
ACC0030,Rodriguez-Cameron,Healthcare,1-50,LATAM,2024-06-08,Mid-Market
ACC0031,"Smith, Schneider and Mitchell",Technology,501-2000,North America,2025-02-05,SMB
ACC0032,Brown-Garza,Manufacturing,201-500,LATAM,2025-05-30,Mid-Market
ACC0033,"Little, Walters and Harrington",Financial Services,501-2000,EMEA,2025-01-07,Enterprise
ACC0034,Morgan-Hernandez,Financial Services,201-500,North America,2025-08-22,SMB
ACC0035,Rodriguez LLC,Manufacturing,1-50,North America,2026-02-04,SMB
ACC0036,Wright-Brown,Technology,51-200,APAC,2024-05-29,Mid-Market
ACC0037,"Cooper, Wood and Smith",Manufacturing,501-2000,North America,2024-09-01,Mid-Market
ACC0038,Benjamin-Holmes,Retail & E-commerce,51-200,APAC,2026-01-05,SMB
ACC0039,"Griffin, Jones and Hernandez",Financial Services,501-2000,North America,2026-02-18,SMB
ACC0040,"Wheeler, Brown and Fowler",Technology,51-200,LATAM,2025-05-02,SMB
ACC0041,Carrillo LLC,Technology,201-500,North America,2025-11-22,Mid-Market
ACC0042,"Smith, Scott and Hamilton",Technology,2000+,North America,2025-01-16,SMB
ACC0043,"Baldwin, Carney and Hobbs",Technology,201-500,APAC,2024-10-08,SMB
ACC0044,Cervantes Ltd,Media & Entertainment,501-2000,LATAM,2025-10-26,Mid-Market
ACC0045,"Sanchez, Reid and Taylor",Retail & E-commerce,2000+,North America,2025-10-28,Mid-Market
ACC0046,Woodward PLC,Technology,501-2000,LATAM,2025-01-04,Mid-Market
ACC0047,"Arnold, Pierce and Price",Manufacturing,501-2000,EMEA,2024-06-06,SMB
ACC0048,"Wade, Young and Dennis",Financial Services,2000+,North America,2024-08-29,SMB
ACC0049,Morgan-Smith,Financial Services,1-50,North America,2024-12-12,Mid-Market
ACC0050,Hernandez LLC,Technology,2000+,APAC,2026-01-22,SMB
ACC0051,Adams and Sons,Technology,501-2000,North America,2025-02-25,Enterprise
ACC0052,"Stone, Wise and Anderson",Technology,201-500,APAC,2024-07-19,Enterprise
ACC0053,Peterson LLC,Healthcare,51-200,EMEA,2025-07-21,Mid-Market
ACC0054,Guerrero Ltd,Technology,51-200,EMEA,2024-05-27,SMB
ACC0055,Nguyen Ltd,Media & Entertainment,2000+,North America,2026-04-05,Mid-Market
ACC0056,Blake-Brown,Public Sector,1-50,LATAM,2025-09-08,Mid-Market
ACC0057,"Pearson, Andrews and Mills",Financial Services,1-50,North America,2025-08-07,Mid-Market
ACC0058,"Simmons, Allen and Smith",Retail & E-commerce,501-2000,North America,2024-07-27,SMB
ACC0059,Estrada-Castaneda,Healthcare,201-500,APAC,2024-09-24,Mid-Market
ACC0060,Richards-Davis,Media & Entertainment,1-50,EMEA,2025-12-17,SMB
ACC0061,"Neal, Taylor and Gentry",Technology,51-200,EMEA,2025-09-11,SMB
ACC0062,"Miller, Kelley and Valencia",Healthcare,51-200,North America,2024-11-30,Mid-Market
ACC0063,Sims-Martin,Technology,201-500,APAC,2025-07-05,Enterprise
ACC0064,Young-Lopez,Technology,2000+,North America,2025-10-31,SMB
ACC0065,Moore-Young,Financial Services,1-50,EMEA,2026-01-27,SMB
ACC0066,Richards-Dickerson,Technology,1-50,EMEA,2025-04-01,SMB
ACC0067,Peterson-Hernandez,Technology,51-200,North America,2026-03-05,SMB
ACC0068,"Brown, Olson and Lucas",Technology,1-50,North America,2024-09-18,SMB
